Iteration,Average Episodic Length,Average Episodic Return,Episodic Return STD,Average Loss
264,200.0,-916.0,147.25167664668928,-8e-05
265,200.0,-851.46,110.76862010292535,-0.0016
266,200.0,-927.86,123.97840476487985,-0.00072
267,200.0,-907.75,127.71286342450024,-0.0008
268,200.0,-956.96,144.5167165541606,-0.00058
269,200.0,-973.34,129.97401593885107,-0.00126
270,200.0,-977.74,192.71722373864623,-0.00244
271,200.0,-916.0,56.32821160331172,-0.00057
272,200.0,-918.63,130.45846977192943,-0.00021
273,200.0,-846.42,114.33482080599558,-0.00092
274,200.0,-830.64,101.20523904619733,-0.00102
275,200.0,-863.39,122.3568894849041,-0.00137
276,200.0,-924.68,136.57663575271,-0.00181
277,200.0,-916.81,63.82863382077304,-0.00118
278,200.0,-928.97,119.12652324282243,-0.00197
279,200.0,-869.04,130.5079754847017,-0.00198
280,200.0,-935.33,180.46873890913588,-6e-05
281,200.0,-916.52,154.5309587579288,-0.00092
282,200.0,-1004.48,185.01481283906446,-0.00159
283,200.0,-977.26,147.83163189436053,-0.0009
284,200.0,-892.34,194.11037222207278,-0.00063
285,200.0,-935.52,125.18250899616741,-0.00318
286,200.0,-883.08,105.1686133080597,-0.00117
287,200.0,-851.19,165.52626089683503,-3e-05
288,200.0,-877.85,166.76226068474853,-0.00047
289,200.0,-887.71,140.70365115608544,-0.00246
290,200.0,-815.87,112.95434387530224,-0.00073
291,200.0,-860.49,169.78287521917534,-0.00081
292,200.0,-901.4,106.98171177937762,-0.00142
293,200.0,-872.75,187.55866533211372,-0.00063
294,200.0,-939.93,207.20523812337555,-0.00237
295,200.0,-905.12,155.17681559501742,-0.00135
296,200.0,-857.09,92.64869855579211,-0.00076
297,200.0,-973.91,169.5071921017095,-0.00145
298,200.0,-814.18,165.8167615623994,-0.00129
299,200.0,-902.95,116.86886791352823,-0.0024
300,200.0,-878.0,123.25471502295692,-0.00032
301,200.0,-910.58,192.48043473430965,-0.00114
302,200.0,-887.24,194.24751011505154,-0.00141
303,200.0,-793.22,71.25692373876402,-0.00219
304,200.0,-821.7,124.60735284767877,-0.00057
305,200.0,-889.25,90.43288298498078,-0.00061
306,200.0,-871.86,156.773648172237,-0.00266
307,200.0,-867.27,105.51322351258065,-0.0015
308,200.0,-839.77,64.94505173549588,-0.00162
309,200.0,-831.28,139.06273907046065,-0.00217
310,200.0,-785.43,146.23048450702584,-0.00063
311,200.0,-871.34,87.77571861005984,-0.00133
312,200.0,-872.36,128.88123171507837,-0.00079
313,200.0,-856.81,90.79601650605923,-0.00133
314,200.0,-873.17,76.2490354461923,-0.00136
315,200.0,-851.35,125.16654762139389,-0.00031
316,200.0,-789.82,95.74330189595433,-0.00147
317,200.0,-861.48,109.14058398131081,-0.00028
318,200.0,-853.8,150.34738386882202,-0.00117
319,200.0,-858.87,124.96396402130561,-0.00227
320,200.0,-848.54,72.50723538165981,-0.00145
321,200.0,-974.14,131.78918056965338,-0.00158
322,200.0,-842.51,87.13946173873484,-0.00121
323,200.0,-875.15,137.26638549963806,-0.00283
324,200.0,-885.61,115.66786365150753,-0.00165
325,200.0,-856.11,115.42304387824102,-0.00097
326,200.0,-880.68,97.3984635434201,-0.00204
327,200.0,-882.52,80.7960932560519,-0.00016
328,200.0,-892.26,122.04345459760039,-0.00044
329,200.0,-919.95,80.7687504519991,-0.00187
330,200.0,-852.51,118.8415742428697,-0.00049
331,200.0,-919.5,111.77091291716621,-0.00206
332,200.0,-949.02,113.91644968272081,-0.00242
333,200.0,-891.1,118.12718512708688,-0.00099
334,200.0,-836.43,104.80324318762673,-0.00133
335,200.0,-860.99,189.5748929322155,-0.00042
336,200.0,-852.79,159.77212373533217,-0.00057
337,200.0,-913.77,104.5775277428505,-0.00103
338,200.0,-838.46,159.77354078352099,-0.00123
